"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_scope","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids"
"","","","","","","","","","","tax","invoice","chart_cz_343110","-100"
"","","","","","","","","","","base","refund","","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343210","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343110","-100"
"RCSR_purchase","Reverse charge – special reduced rate","10%","10%","10.0","percent","purchase","","0","tax_group_vat_10","base","invoice","","","+11 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343110","","+11 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343210","-100"
"","","","","","","","","","","base","refund","","","-11 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343110","","-11 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343210","-100"
"S_sale","Standard rate","21%","21%","21.0","percent","sale","","0","tax_group_vat_21","base","invoice","","","+1 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","","+1 (base)"
"","","","","","","","","","","base","refund","","","-1 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","","-1 (tax)"
"S_purchase","Standard rate","21%","21%","21.0","percent","purchase","","0","tax_group_vat_21","base","invoice","","","+40 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+40 (amount)"
"","","","","","","","","","","base","refund","","","-40 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-40 (amount)"
"SR_sale","Special reduced rate","10%","10%","10.0","percent","sale","","0","tax_group_vat_10","base","invoice","","","+2 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343210","","+2 (base)"
"","","","","","","","","","","base","refund","","","-2 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343210","","-2 (tax)"
"SR_purchase","Special reduced rate","10%","10%","10.0","percent","purchase","","0","tax_group_vat_10","base","invoice","","","+41 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343110","","+41 (amount)"
"","","","","","","","","","","base","refund","","","-41 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343110","","-41 (amount)"
"Z","Zero rated sales","0%","0%","0.0","percent","sale","","0","tax_group_vat_0","base","invoice","","","+26"
"","","","","","","","","","","tax","invoice","","","+26"
"","","","","","","","","","","base","refund","","","-26"
"","","","","","","","","","","tax","refund","","","-26"
