id,code,name,reconcile,account_type,chart_template_id:id
co_puc_162000,162000,"[Assets] Intangibles - Concessions and franchises",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_162500,162500,"[Assets] Intangibles - Copyrights",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_163000,163000,"[Assets] Intangibles - Know how",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_163500,163500,"[Assets] Intangibles - Licenses",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_169800,169800,"[Assets] Intangibles - Accumulated depreciation",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_169900,169900,"[Assets] Intangibles - Provisions",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_170500,170500,"[Assets] Deferred - Prepaid costs",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_171000,171000,"[Assets] Deferred - Charges",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_171500,171500,"[Assets] Deferred - Exploration costs to be amortized",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_172000,172000,"[Assets] Deferred - Exploitation and development costs",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_179801,179801,"[Assets] Deferred - Accumulated amortization (for current assets)",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_179802,179802,"[Assets] Deferred - Accumulated amortization (for non-current assets)",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_180500,180500,"[Assets] Others - Art and culture goods",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_189500,189500,"[Assets] Others - Various assets",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_189900,189900,"[Assets] Others - Provisions",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_190500,190500,"[Assets] Valuation - Of investments",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_191000,191000,"[Assets] Valuation - Of Property, plant & equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_199500,199500,"[Assets] Valuation - Of other assets",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_210500,210500,"[Liabilities] Financial Obligations - National banks",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_211000,211000,"[Liabilities] Financial Obligations - Foreign banks",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_211500,211500,"[Liabilities] Financial Obligations - Financial corporations",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_212000,212000,"[Liabilities] Financial Obligations - Trade finance companies",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_212500,212500,"[Liabilities] Financial Obligations - Savings and housing corporations",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_213000,213000,"[Liabilities] Financial Obligations - Foreign financial entities",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_213500,213500,"[Liabilities] Financial Obligations - Traded investment repurchase commitments",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_214000,214000,"[Liabilities] Financial Obligations - Traded portfolio repurchase commitments",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_214500,214500,"[Liabilities] Financial Obligations - Governmental obligations",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_219500,219500,"[Liabilities] Financial Obligations - Others",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_220500,220500,"[Liabilities] Providers - National",TRUE,liability_payable,l10n_co_chart_template_generic
co_puc_221000,221000,"[Liabilities] Providers - Foreign",TRUE,liability_payable,l10n_co_chart_template_generic
co_puc_221500,221500,"[Liabilities] Providers - Business checking accounts",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_222000,222000,"[Liabilities] Providers - Parent company",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_222500,222500,"[Liabilities] Providers - Related companies",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_230500,230500,"[Liabilities] Payables - Business checking accounts",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_231000,231000,"[Liabilities] Payables - To parent company",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_231500,231500,"[Liabilities] Payables - To related companies",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_232000,232000,"[Liabilities] Payables - To contractors",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_233000,233000,"[Liabilities] Payables - Purchase orders to use",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_233500,233500,"[Liabilities] Payables - Costs and expenses",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_234000,234000,"[Liabilities] Payables - Installations",FALSE,liability_current,l10n_co_chart_template_generic
