id,l10n_br_zip_ranges
l10n_br.city_br_230,[13600-001 13609-999]
l10n_br.city_br_231,[86800-001 86819-999]
l10n_br.city_br_232,[28970-000 28989-999]
l10n_br.city_br_233,[27500-001 27569-999]
l10n_br.city_br_234,[34500-001 34799-999]
l10n_br.city_br_235,[33200-000 33349-999]
l10n_br.city_br_236,[18110-001 18119-999]
l10n_br.city_br_237,[83320-001 83349-999]
l10n_br.city_br_238,[58268-000 58269-999]
l10n_br.city_br_239,[68445-000 68449-999]
l10n_br.city_br_240,[13270-001 13279-999]
l10n_br.city_br_241,[68370-001 68379-999]
l10n_br.city_br_242,[36200-001 36209-999]
l10n_br.city_br_243,[29200-001 29229-999]
l10n_br.city_br_244,[76900-001 76915-999]
l10n_br.city_br_245,[18270-001 18284-999]
l10n_br.city_br_246,[29930-001 29949-999]
l10n_br.city_br_247,[68180-001 68192-999]
l10n_br.city_br_248,[95700-001 95714-999]
l10n_br.city_br_249,[68600-000 68609-999]
l10n_br.city_br_250,[14780-001 14789-999]
l10n_br.city_br_251,[13250-001 13259-999]
l10n_br.city_br_252,[29700-001 29719-999]
l10n_br.city_br_253,[83500-001 83534-999]
l10n_br.city_br_254,[86700-001 86719-999]
l10n_br.city_br_255,[16200-001 16209-999]
l10n_br.city_br_256,[83300-001 83319-999]
l10n_br.city_br_257,[87110-001 87119-999]
l10n_br.city_br_258,[06600-001 06649-999]
l10n_br.city_br_259,[12500-001 12524-999]
l10n_br.city_br_260,[96400-001 96444-999]
l10n_br.city_br_261,[38440-001 38459-999]
l10n_br.city_br_262,[97500-001 97537-999]
l10n_br.city_br_263,[87500-001 87524-999]
l10n_br.city_br_264,[23800-001 23859-999]
l10n_br.city_br_265,[62670-000 62679-999]
l10n_br.city_br_266,[15800-001 15819-999]
l10n_br.city_br_267,[13220-001 13229-999]
l10n_br.city_br_268,[73800-001 73819-999]
l10n_br.city_br_269,[09400-001 09449-999]
l10n_br.city_br_270,[53600-001 53689-999]
l10n_br.city_br_271,[43700-000 43799-999]
l10n_br.city_br_272,[75700-001 75714-999]
l10n_br.city_br_273,[65400-000 65412-999]
l10n_br.city_br_274,[45820-001 45833-999]
l10n_br.city_br_275,[35900-001 35907-999]
l10n_br.city_br_276,[48600-001 48619-999]
l10n_br.city_br_277,[11740-000 11749-999]
l10n_br.city_br_278,[11500-001 11599-999]
l10n_br.city_br_279,[37900-001 37904-999]
l10n_br.city_br_280,[34000-001 34019-999]
l10n_br.city_br_281,[38180-001 38184-999]
l10n_br.city_br_282,[54700-001 54749-999]
l10n_br.city_br_283,[78890-000 78899-999]
l10n_br.city_br_284,[13140-001 13149-999]
l10n_br.city_br_285,[67200-000 67999-999]
l10n_br.city_br_286,[88700-001 88709-999]
l10n_br.city_br_287,[75500-001 75549-999]
l10n_br.city_br_288,[47850-000 47859-999]
l10n_br.city_br_289,[68925-001 68939-999]
l10n_br.city_br_290,[86180-001 86199-999]
l10n_br.city_br_291,[68800-000 68809-999]
l10n_br.city_br_292,[65930-000 65934-999]
l10n_br.city_br_293,[78300-000 78306-999]
l10n_br.city_br_294,[75800-001 75809-999]
l10n_br.city_br_295,[99700-001 99717-999]
l10n_br.city_br_296,[35517-000 35529-999]
l10n_br.city_br_297,[68625-001 68631-999]
l10n_br.city_br_298,[61940-001 61999-999]
l10n_br.city_br_299,[73750-001 73759-999]
l10n_br.city_br_300,[37200-000 37209-999]
l10n_br.city_br_301,[35170-001 35176-999]
l10n_br.city_br_302,[36880-001 36892-999]
l10n_br.city_br_303,[28940-001 28949-999]
l10n_br.city_br_304,[19900-001 19919-999]
l10n_br.city_br_305,[72860-001 72869-999]
l10n_br.city_br_306,[08550-001 08569-999]
l10n_br.city_br_307,[65700-000 65703-999]
l10n_br.city_br_308,[69100-001 69113-999]
l10n_br.city_br_309,[58360-000 58369-999]
l10n_br.city_br_310,[36500-000 36509-999]
l10n_br.city_br_311,[58700-001 58709-999]
l10n_br.city_br_312,[88340-001 88349-999]
l10n_br.city_br_313,[44570-001 44574-999]
l10n_br.city_br_314,[38300-001 38309-999]
l10n_br.city_br_315,[69400-001 69414-999]
l10n_br.city_br_316,[65800-000 65804-999]
l10n_br.city_br_317,[49400-000 49479-999]
l10n_br.city_br_318,[19800-001 19819-999]
l10n_br.city_br_319,[28300-000 28349-999]
