"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"518","Gastos en Servicios Públicos","518","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"519","Gastos de Publicidad y Propaganda","519","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"521","Gastos en Siniestros","521","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"522","Donaciones Cedidas, Otorgadas","522","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"523","Pérdida Venta Activo Fijo","523","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"524","Diferencial cambiario","524","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"61_01","Compras - Categoria de productos 01","61.01","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"62","Costos de Producción","62","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"63","Gastos de Administración","63","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"64","Gastos de Comercialización","64","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"711","Mercaderias Recibidas en Consignación","711","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"712","Depósito de Valores Recibos en Garantía","712","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"713","Garantias Otorgadas","713","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"714","Documentos Descontados","714","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"715","Documentos Endosados","715","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"721","Comitente por Mercaderias Recibidas en Consignación","721","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"722","Acreedor por Garantías Otorgadas","722","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"723","Acreedor por Documentos Descontados","723","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
