id,code_prefix_start,code_prefix_end,name,chart_template_id/id
pcg_group_318,318,,"Marchandises hors activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_32,32,,"Matières premières et fournitures liées",l10n_syscohada.syscohada_chart_template
pcg_group_321,321,,"Matières A",l10n_syscohada.syscohada_chart_template
pcg_group_322,322,,"Matières B",l10n_syscohada.syscohada_chart_template
pcg_group_323,323,,"Fournitures (A,B)",l10n_syscohada.syscohada_chart_template
pcg_group_33,33,,"Autres Approvisionnements",l10n_syscohada.syscohada_chart_template
pcg_group_331,331,,"Matières consommables",l10n_syscohada.syscohada_chart_template
pcg_group_332,332,,"Fournitures d'atelier et d'usine",l10n_syscohada.syscohada_chart_template
pcg_group_333,333,,"Fournitures de magasin",l10n_syscohada.syscohada_chart_template
pcg_group_334,334,,"Founitures de bureau",l10n_syscohada.syscohada_chart_template
pcg_group_335,335,,"Emballages",l10n_syscohada.syscohada_chart_template
pcg_group_338,338,,"Autres matières",l10n_syscohada.syscohada_chart_template
pcg_group_34,34,,"Produits en cours",l10n_syscohada.syscohada_chart_template
pcg_group_341,341,,"Produits en cours",l10n_syscohada.syscohada_chart_template
pcg_group_342,342,,"Travaux en cours",l10n_syscohada.syscohada_chart_template
pcg_group_343,343,,"Produits intermédiaires en cours",l10n_syscohada.syscohada_chart_template
pcg_group_344,344,,"Produits résiduels en cours",l10n_syscohada.syscohada_chart_template
pcg_group_345,345,,"Actifs biologiques en cours",l10n_syscohada.syscohada_chart_template
pcg_group_35,35,,"Services en cours",l10n_syscohada.syscohada_chart_template
pcg_group_351,351,,"Etudes en cours",l10n_syscohada.syscohada_chart_template
pcg_group_352,352,,"Prestations de services en cours",l10n_syscohada.syscohada_chart_template
pcg_group_36,36,,"Produits finis",l10n_syscohada.syscohada_chart_template
pcg_group_361,361,,"Produits finis A",l10n_syscohada.syscohada_chart_template
pcg_group_362,362,,"Produits finis B",l10n_syscohada.syscohada_chart_template
pcg_group_363,363,,"Actifs biologiques",l10n_syscohada.syscohada_chart_template
pcg_group_37,37,,"Produits intermédiaires et résiduels",l10n_syscohada.syscohada_chart_template
pcg_group_371,371,,"Produits intermédiaires",l10n_syscohada.syscohada_chart_template
pcg_group_372,372,,"Produits résiduels",l10n_syscohada.syscohada_chart_template
pcg_group_373,373,,"Actifs biologiques",l10n_syscohada.syscohada_chart_template
pcg_group_38,38,,"Stocks en cours de route, en consignation ou en dépôt",l10n_syscohada.syscohada_chart_template
pcg_group_381,381,,"Marchandises en cours de route",l10n_syscohada.syscohada_chart_template
pcg_group_382,382,,"Matières premières et fournitures liées en cours de route",l10n_syscohada.syscohada_chart_template
pcg_group_383,383,,"Autres approvisionnements en cours de route",l10n_syscohada.syscohada_chart_template
pcg_group_386,386,,"Produits finis en cours de route",l10n_syscohada.syscohada_chart_template
pcg_group_387,387,,"Stock en consignation ou en dépôt",l10n_syscohada.syscohada_chart_template
pcg_group_388,388,,"Stock provenant d'immobilisations mises hors service ou au rebut",l10n_syscohada.syscohada_chart_template
pcg_group_39,39,,"Dépréciations des stocks et encours de production",l10n_syscohada.syscohada_chart_template
pcg_group_391,391,,"Dépréciations des stocks de marchandises",l10n_syscohada.syscohada_chart_template
pcg_group_392,392,,"Dépréciations des stocks de matières premières et fournitures liées",l10n_syscohada.syscohada_chart_template
pcg_group_393,393,,"Dépréciations des stocks d'autres approvisionnements",l10n_syscohada.syscohada_chart_template
pcg_group_394,394,,"Dépréciations des productions en cours",l10n_syscohada.syscohada_chart_template
pcg_group_395,395,,"Dépréciations des services en cours",l10n_syscohada.syscohada_chart_template
pcg_group_396,396,,"Dépréciations des stocks de produits finis",l10n_syscohada.syscohada_chart_template
pcg_group_397,397,,"Dépréciations des stocks de produits intermédiaires et résiduels",l10n_syscohada.syscohada_chart_template
pcg_group_398,398,,"Dépréciations des stocks en cours de route, en consignation ou en dépot",l10n_syscohada.syscohada_chart_template
pcg_group_4,4,,"Comptes de tiers",l10n_syscohada.syscohada_chart_template
pcg_group_40,40,,"Fournisseurs et comptes rattachés",l10n_syscohada.syscohada_chart_template
pcg_group_401,401,,"Fournisseurs, dettes en compte",l10n_syscohada.syscohada_chart_template
pcg_group_402,403,,"Fournisseurs, effets à payer",l10n_syscohada.syscohada_chart_template
pcg_group_404,404,,"Founisseurs, acquisitions courantes d'immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_408,408,,"Fournisseurs, factures non parvenues",l10n_syscohada.syscohada_chart_template
pcg_group_409,409,,"Fournisseurs débiteurs",l10n_syscohada.syscohada_chart_template
pcg_group_41,41,,"Clients et comtpes rattachés",l10n_syscohada.syscohada_chart_template
pcg_group_411,411,,"Clients",l10n_syscohada.syscohada_chart_template
pcg_group_412,412,,"Clients, effets à recevoir en portefeuille",l10n_syscohada.syscohada_chart_template
pcg_group_413,413,,"Clients, chèques, effets et autres valeurs impayés",l10n_syscohada.syscohada_chart_template
pcg_group_414,414,,"Créances sur cessions courantes d'immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_415,415,,"Clients, effets escomptés non échus",l10n_syscohada.syscohada_chart_template
pcg_group_416,416,,"Créances clients litigieuses ou douteuses",l10n_syscohada.syscohada_chart_template
pcg_group_418,418,,"Clients, produits à recevoir",l10n_syscohada.syscohada_chart_template
pcg_group_419,419,,"Clients créditeurs",l10n_syscohada.syscohada_chart_template
pcg_group_42,42,,"Personnel",l10n_syscohada.syscohada_chart_template
pcg_group_421,421,,"Personnel, avances et acomptes",l10n_syscohada.syscohada_chart_template
pcg_group_422,422,,"Personnel, rémunérations dees",l10n_syscohada.syscohada_chart_template
pcg_group_423,423,,"Personnel, oppositions, saisies-arrêts",l10n_syscohada.syscohada_chart_template
pcg_group_424,424,,"Personnel, œuvres sociales internes",l10n_syscohada.syscohada_chart_template
pcg_group_425,425,,"Représentants du personnel",l10n_syscohada.syscohada_chart_template
pcg_group_426,426,,"Personnel, participation aux bénéfices et au capital",l10n_syscohada.syscohada_chart_template
pcg_group_427,427,,"Personnel - dépôts",l10n_syscohada.syscohada_chart_template
pcg_group_428,428,,"Personnel, charges à payer et produits à recevoir",l10n_syscohada.syscohada_chart_template
pcg_group_43,43,,"Organismes sociaux",l10n_syscohada.syscohada_chart_template
pcg_group_431,431,,"Sécurité sociale",l10n_syscohada.syscohada_chart_template
pcg_group_432,432,,"Caisses de retraite complémentaire",l10n_syscohada.syscohada_chart_template
pcg_group_433,433,,"Autres organismes sociaux",l10n_syscohada.syscohada_chart_template
pcg_group_438,438,,"Organismes sociaux, charges à payer et produits à recevoir",l10n_syscohada.syscohada_chart_template
pcg_group_44,44,,"Etat et collectivités publiques",l10n_syscohada.syscohada_chart_template
pcg_group_441,441,,"Etat, impôt sur les bénéfices",l10n_syscohada.syscohada_chart_template
pcg_group_442,442,,"Etat, autres impôts et taxes",l10n_syscohada.syscohada_chart_template
pcg_group_443,443,,"Etat, T.V.A. facturée",l10n_syscohada.syscohada_chart_template
pcg_group_444,444,,"Etat, T.V.A. due ou crédit de T.V.A.",l10n_syscohada.syscohada_chart_template
pcg_group_445,445,,"Etat, T.V.A. récupérable",l10n_syscohada.syscohada_chart_template
pcg_group_446,446,,"Etat, autres taxes sur le chiffre d'affaires",l10n_syscohada.syscohada_chart_template
pcg_group_447,447,,"Etat, impôts retenus à la source",l10n_syscohada.syscohada_chart_template
pcg_group_448,448,,"Etat, charges à payer et produits à recevoir",l10n_syscohada.syscohada_chart_template
pcg_group_449,449,,"Etat, créances et dettes diverses",l10n_syscohada.syscohada_chart_template
pcg_group_45,45,,"Organismes internationaux",l10n_syscohada.syscohada_chart_template
pcg_group_451,451,,"Opérations avec les organismes africains",l10n_syscohada.syscohada_chart_template
pcg_group_452,452,,"Opérations avec les autres organismes internationaux",l10n_syscohada.syscohada_chart_template
pcg_group_458,458,,"Organismes internationaux, fonds de dotation et subventions à recevoir",l10n_syscohada.syscohada_chart_template
pcg_group_46,46,,"Apporteurs, associés et groupe",l10n_syscohada.syscohada_chart_template
pcg_group_461,461,,"Apporteurs, opérations sur le capital",l10n_syscohada.syscohada_chart_template
pcg_group_462,462,,"Associés, comptes courants",l10n_syscohada.syscohada_chart_template
pcg_group_463,463,,"Associés, opérations faites en commun et GIE",l10n_syscohada.syscohada_chart_template
pcg_group_465,465,,"Associés, dividendes à payer",l10n_syscohada.syscohada_chart_template
pcg_group_466,466,,"Groupe, comptes courants",l10n_syscohada.syscohada_chart_template
pcg_group_467,467,,"Apporteurs, restant dû sur capital appelé",l10n_syscohada.syscohada_chart_template
pcg_group_47,47,,"Débiteurs et créditeurs divers",l10n_syscohada.syscohada_chart_template
pcg_group_471,471,,"Débiteurs et créditeurs divers",l10n_syscohada.syscohada_chart_template
pcg_group_472,472,,"Créances et dettes sur titres de placement",l10n_syscohada.syscohada_chart_template
pcg_group_473,473,,"Intermédiaires - opérations faites pour compte de tiers",l10n_syscohada.syscohada_chart_template
pcg_group_474,474,,"Compte de répartition périodique des charges et des produits",l10n_syscohada.syscohada_chart_template
pcg_group_475,475,,"Comtpe transitoire, ajustement spécial lié à la révision du SYSCOHADA",l10n_syscohada.syscohada_chart_template
pcg_group_476,476,,"Charges constatées d'avance",l10n_syscohada.syscohada_chart_template
pcg_group_477,477,,"Produits constatés d'avance",l10n_syscohada.syscohada_chart_template
pcg_group_478,478,,"Ecarts de conversion - actif",l10n_syscohada.syscohada_chart_template
pcg_group_479,479,,"Ecarts de conversion - passif",l10n_syscohada.syscohada_chart_template
pcg_group_48,48,,"Créances et dettes hors activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_481,481,,"Fournisseurs d'investissements",l10n_syscohada.syscohada_chart_template
pcg_group_482,482,,"Fournisseurs d'investissements, effets à payer",l10n_syscohada.syscohada_chart_template
pcg_group_484,484,,"Autres dettes hors activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_485,485,,"Créances sur cessions d'immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_488,488,,"Autres créances hors activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_49,49,,"Dépréciations et provisions pour risques à court terme (tiers)",l10n_syscohada.syscohada_chart_template
pcg_group_490,490,,"Dépréciations des comptes : fournisseurs",l10n_syscohada.syscohada_chart_template
pcg_group_491,491,,"Dépréciations des comptes : clients",l10n_syscohada.syscohada_chart_template
pcg_group_492,492,,"Dépréciations des comptes : personnel",l10n_syscohada.syscohada_chart_template
pcg_group_493,493,,"Dépréciations des comptes : organismes sociaux",l10n_syscohada.syscohada_chart_template
pcg_group_494,494,,"Dépréciations des comptes : Etat et collectivités publiques",l10n_syscohada.syscohada_chart_template
pcg_group_495,495,,"Dépréciations des comptes : organismes internationaux",l10n_syscohada.syscohada_chart_template
pcg_group_496,496,,"Dépréciations des comptes : apporteurs, associés et groupe",l10n_syscohada.syscohada_chart_template
pcg_group_497,497,,"Dépréciations des comptes : débiteurs divers",l10n_syscohada.syscohada_chart_template
pcg_group_498,498,,"Dépréciations des comptes de créances H.A.O.",l10n_syscohada.syscohada_chart_template
pcg_group_499,499,,"Provisions pour risques à court terme",l10n_syscohada.syscohada_chart_template
pcg_group_5,5,,"Comptes de trésorerie",l10n_syscohada.syscohada_chart_template
pcg_group_50,50,,"Titres de placement",l10n_syscohada.syscohada_chart_template
pcg_group_501,501,,"Titres du trésor et bons de caisse à court terme",l10n_syscohada.syscohada_chart_template
pcg_group_502,502,,"Actions",l10n_syscohada.syscohada_chart_template
pcg_group_503,503,,"Obligations",l10n_syscohada.syscohada_chart_template
pcg_group_504,504,,"Bons de souscription",l10n_syscohada.syscohada_chart_template
pcg_group_505,505,,"Titres négociables hors région",l10n_syscohada.syscohada_chart_template
pcg_group_506,506,,"Intérêt courus",l10n_syscohada.syscohada_chart_template
pcg_group_508,508,,"Autres titres de placement et créances assimilées",l10n_syscohada.syscohada_chart_template
pcg_group_51,51,,"Valeurs à encaisser",l10n_syscohada.syscohada_chart_template
pcg_group_511,511,,"Effets à encaisser",l10n_syscohada.syscohada_chart_template
pcg_group_512,512,,"Effets à l'encaissement",l10n_syscohada.syscohada_chart_template
pcg_group_513,513,,"Chèques à encaisser",l10n_syscohada.syscohada_chart_template
pcg_group_514,514,,"Chèques à l'encaissement",l10n_syscohada.syscohada_chart_template
pcg_group_515,515,,"Cartes de crédit à encaisser",l10n_syscohada.syscohada_chart_template
pcg_group_518,518,,"Autres valeurs à l'encaissement",l10n_syscohada.syscohada_chart_template
pcg_group_52,52,,"Banques",l10n_syscohada.syscohada_chart_template
pcg_group_521,521,,"Banques locales",l10n_syscohada.syscohada_chart_template
pcg_group_522,522,,"Banques, autres états, région",l10n_syscohada.syscohada_chart_template
pcg_group_523,523,,"Banques, autres états, zone monétaire",l10n_syscohada.syscohada_chart_template
pcg_group_524,524,,"Banques, hors zone monétaire",l10n_syscohada.syscohada_chart_template
pcg_group_525,525,,"Banques, dépôt à terme",l10n_syscohada.syscohada_chart_template
pcg_group_526,526,,"Banques, intérêts courus",l10n_syscohada.syscohada_chart_template
pcg_group_53,53,,"Etablissements financiers et assimilés",l10n_syscohada.syscohada_chart_template
pcg_group_531,531,,"Chèques postaux",l10n_syscohada.syscohada_chart_template
pcg_group_532,532,,"Trésor",l10n_syscohada.syscohada_chart_template
pcg_group_533,533,,"Sociétés de gestion et d'intermédiation",l10n_syscohada.syscohada_chart_template
pcg_group_536,536,,"Etablissements financiers, intérêts courus",l10n_syscohada.syscohada_chart_template
