id,name,applicability,country_id:id
tax_report_tag35,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого олоход зарцуулсан зардал (35)",accounts,
tax_report_tag36,ТТ02: Хонжворт олгосон мөнгө болон барааны үнэ (36),accounts,
tax_report_tag38,ТТ02: Эрхийн шимтгэлийн орлого (38),accounts,
tax_report_tag39,ТТ02: Ногдол ашгийн орлого (39),accounts,
tax_report_tag40,ТТ02: Хүүгийн орлого (40),accounts,
tax_report_tag41,"ТТ02: Гадаад улсад олсон ногдол ашиг, хүүгийн орлого (41)",accounts,
tax_report_tag43,ТТ02: Гадаад улсад олсон орлого (43),accounts,
tax_report_tag50,ТТ02: Эрх борлуулсны орлого (50),accounts,
tax_report_tag52,ТТ02: Үл хөдлөх хөрөнгө борлуулсны орлого (52),accounts,
tax_report_tag53,ТТ02: Хөдлөх эд хөрөнгө борлуулсны орлого (53),accounts,
tax_report_tag54,ТТ02: Туслах ажил үйлчилгээний орлого (54),accounts,
