"id","name","applicability"
"account_tag_external_code_4080","4080","accounts"
"account_tag_external_code_4084","4084","accounts"
"account_tag_external_code_4090","4090","accounts"
"account_tag_external_code_4092","4092","accounts"
"account_tag_external_code_4095","4095","accounts"
"account_tag_external_code_4096","4096","accounts"
"account_tag_external_code_4098","4098","accounts"
"account_tag_external_code_4100","4100","accounts"
"account_tag_external_code_4110","4110","accounts"
"account_tag_external_code_4111","4111","accounts"
"account_tag_external_code_4120","4120","accounts"
"account_tag_external_code_4200","4200","accounts"
"account_tag_external_code_4210","4210","accounts"
"account_tag_external_code_4290","4290","accounts"
"account_tag_external_code_4310","4310","accounts"
"account_tag_external_code_4350","4350","accounts"
"account_tag_external_code_4352","4352","accounts"
"account_tag_external_code_4353","4353","accounts"
"account_tag_external_code_4354","4354","accounts"
"account_tag_external_code_4356","4356","accounts"
"account_tag_external_code_4358","4358","accounts"
"account_tag_external_code_4360","4360","accounts"
"account_tag_external_code_4362","4362","accounts"
"account_tag_external_code_4364","4364","accounts"
"account_tag_external_code_4400","4400","accounts"
"account_tag_external_code_4401","4401","accounts"
"account_tag_external_code_4402","4402","accounts"
"account_tag_external_code_4403","4403","accounts"
"account_tag_external_code_4416","4416","accounts"
"account_tag_external_code_4419","4419","accounts"
"account_tag_external_code_4420","4420","accounts"
"account_tag_external_code_4421","4421","accounts"
"account_tag_external_code_4422","4422","accounts"
"account_tag_external_code_4423","4423","accounts"
"account_tag_external_code_4424","4424","accounts"
"account_tag_external_code_4425","4425","accounts"
"account_tag_external_code_4430","4430","accounts"
"account_tag_external_code_4449","4449","accounts"
"account_tag_external_code_4450","4450","accounts"
"account_tag_external_code_4451","4451","accounts"
"account_tag_external_code_4452","4452","accounts"
"account_tag_external_code_4453","4453","accounts"
"account_tag_external_code_4454","4454","accounts"
"account_tag_external_code_4455","4455","accounts"
"account_tag_external_code_4456","4456","accounts"
"account_tag_external_code_4457","4457","accounts"
"account_tag_external_code_4458","4458","accounts"
"account_tag_external_code_4459","4459","accounts"
"account_tag_external_code_4460","4460","accounts"
"account_tag_external_code_4461","4461","accounts"
"account_tag_external_code_4462","4462","accounts"
"account_tag_external_code_4466","4466","accounts"
"account_tag_external_code_4469","4469","accounts"
"account_tag_external_code_4470","4470","accounts"
"account_tag_external_code_4480","4480","accounts"
"account_tag_external_code_4481","4481","accounts"
"account_tag_external_code_4482","4482","accounts"
"account_tag_external_code_4486","4486","accounts"
