"code","description","code_type"
"03099011","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Vannamei shrimp (Litopenaeus vannamei)","l10n_in_hsn"
"03099012","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Indian white shrimp (Fenneropenaeus indicus)","l10n_in_hsn"
"03099013","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Black tiger shrimp (Penaeus monodon)","l10n_in_hsn"
"03099014","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Flower shrimp (Penaeus semisulcatus)","l10n_in_hsn"
"03099019","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Other","l10n_in_hsn"
"03099021","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Vannamei shrimp (Litopenaeus vannamei)","l10n_in_hsn"
"03099022","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Indian white shrimp (Fenneropenaeus indicus)","l10n_in_hsn"
"03099023","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Black tiger shrimp (Penaeus monodon)","l10n_in_hsn"
"03099024","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Flower shrimp (Penaeus semisulcatus)","l10n_in_hsn"
"03099029","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Other","l10n_in_hsn"
"03099031","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Vannamei shrimp (Litopenaeus vannamei)","l10n_in_hsn"
"03099032","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Indian white shrimp (Fenneropenaeus indicus)","l10n_in_hsn"
"03099033","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Black tiger shrimp (Penaeus monodon)","l10n_in_hsn"
"03099034","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Flower shrimp (Penaeus semisulcatus)","l10n_in_hsn"
"03099039","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Other","l10n_in_hsn"
"03099040","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Of crustaceans, other","l10n_in_hsn"
"03099050","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Of molluscs, fresh or chilled","l10n_in_hsn"
"03099060","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Of molluscs, frozen","l10n_in_hsn"
"03099070","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Of molluscs, salted, in brine, dried or smoked","l10n_in_hsn"
"03099080","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Of molluscs, other","l10n_in_hsn"
"03099090","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption~Other~Other","l10n_in_hsn"
"04021010","MILK AND CREAM, CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER SKIMMED IN POWDER, GRANULES OR OTHER SOLID FORMS, OF A FAT CONTENT, BY WEIGHT NOT EXCEEDING 1.5% : SKIMMED MILK","l10n_in_hsn"
"04021020","MILK AND CREAM, CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER IN POWDER, GRANULES OR OTHER SOLID FORMS, OF A FAT CONTENT, BY WEIGHT NOT EXCEEDING 1.5% : MILK FOOD FOR BABIES","l10n_in_hsn"
