"id","code","name","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_si_145","145","Druge kratkoročne terjatve iz poslovanja za tuj račun","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_149","149","Oslabitev vrednosti kratkoročnih terjatev iz poslovanja za tuj račun","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_150","150","Kratkoročne terjatve za obresti","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_151","151","Kratkoročne terjatve za dividende","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_152","152","Kratkoročne terjatve za druge deleže v dobičku","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_155","155","Druge kratkoročne terjatve, povezane s finančnimi prihodki","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_159","159","Oslabitev vrednosti kratkoročnih terjatev, povezanih s finančnimi prihodki","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_160","160","Kratkoročne terjatve za odbitni DDV","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_161","161","Kratkoročne terjatve za davek od dohodkov pravnih oseb, vključno z davkom, plačanim v tujini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_162","162","Kratkoročne terjatve za dohodnino od dohodka iz dejavnosti samostojnih podjetnikov posameznikov, vključno z davkom, plačanim v tujini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_164","164","Druge kratkoročne terjatve do državnih in drugih inštitucij","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_165","165","Ostale kratkoročne terjatve","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_166","166","Kratkoročne terjatve za DDV, vrnjen tujcem","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_167","167","Kratkoročne terjatve za DDV, plačan v tujini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_169","169","Oslabitev vrednosti drugih kratkoročnih terjatev","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
